# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeTotalNS,1777194942519000000,1777194970389000000,1857004500
FilePageCache.maxCacheSizeInBytes,1777194942519000000,1777194970389000000,259014656
FilePageCache.totalPageDisposalsUs,1777194942519000000,1777194970389000000,6095
FilePageCache.pageLoads,1777194942519000000,1777194970389000000,254
StorageLockContext.competingThreads.90P,1777194942519000000,1777194970389000000,6
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777194942519000000,1777194970389000000,41959424
FilePageCache.uncachedFileAccess,1777194942519000000,1777194970389000000,369
DirectByteBufferAllocator.hits,1777194942519000000,1777194970389000000,5
FilePageCache.pageHits,1777194942519000000,1777194970389000000,0
FilePageCache.maxRegisteredFiles,1777194942519000000,1777194970389000000,682
StorageLockContext.competingThreads.avg,1777194942519000000,1777194970389000000,0.7959183673469388
FilePageCache.totalPageLoadsUs,1777194942519000000,1777194970389000000,972182
FilePageCache.disposedBuffers,1777194942519000000,1777194970389000000,254
DirectByteBufferAllocator.reclaimed,1777194942519000000,1777194970389000000,47
DirectByteBufferAllocator.disposed,1777194942519000000,1777194970389000000,207
FileChannelInterruptsRetryer.totalRetriedAttempts,1777194942519000000,1777194970389000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777194942519000000,1777194970389000000,41959424
FilePageCache.pageFastCacheHits,1777194942519000000,1777194970389000000,17400
FilePageCache.capacityInBytes,1777194942519000000,1777194970389000000,629145600
StorageLockContext.competingThreads.max,1777194942519000000,1777194970389000000,8
FilePageCache.pageLoadsAboveSizeThreshold,1777194942519000000,1777194970389000000,0
DirectByteBufferAllocator.misses,1777194942519000000,1777194970389000000,249
DiskQueryRelay.taskWaitingTotalTimeUs,1777194942519000000,1777194970389000000,0
DiskQueryRelay.tasksRequested,1777194942519000000,1777194970389000000,0
DiskQueryRelay.tasksExecuted,1777194942519000000,1777194970389000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1777194942519000000,1777194970389000000,0
cacheStateStorage.get.duration,1777194942519000000,1777194970389000000,0
cacheStateStorage.get.counter,1777194942519000000,1777194970389000000,1
cacheStateStorage.set.counter,1777194942519000000,1777194970389000000,1
cacheStateStorage.set.duration,1777194942519000000,1777194970389000000,18
jps.load.initial.state.ms,1777194942519000000,1777194970389000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1777194942519000000,1777194970389000000,0
workspaceModel.global.apply.state.to.project.ms,1777194942519000000,1777194970389000000,0
workspaceModel.global.updates.count,1777194942519000000,1777194970389000000,0
workspaceModel.global.updates.ms,1777194942519000000,1777194970389000000,0
jps.save.global.entities.ms,1777194942519000000,1777194970389000000,4
workspaceModel.sync.entities.ms,1777194942519000000,1777194970389000000,0
Indexing.writesQueuedMin,1777194942519000000,1777194970389000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1777194942519000000,1777194970389000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1777194942519000000,1777194970389000000,0
Indexing.cache.totalCacheEvicted,1777194942519000000,1777194970389000000,0
Indexing.writesQueuedMax,1777194942519000000,1777194970389000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1777194942519000000,1777194970389000000,0
Indexing.totalTimeIndexersSleptMs,1777194942519000000,1777194970389000000,0
Indexing.cache.totalCacheAccesses,1777194942519000000,1777194970389000000,0
Indexing.cache.totalCacheMisses,1777194942519000000,1777194970389000000,0
Indexing.writesQueuedAvg,1777194942519000000,1777194970389000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1777194942519000000,1777194970389000000,0
